event_id,competition_id,discipline_id,gender,event_class,event_date
world_aquatics_championships_2003_women_swimming-50-m-freestyle,world_aquatics_championships,aquatics_swimming-50-m-freestyle,women,podium_top3_by_event,2003-01-01
world_aquatics_championships_2003_men_swimming-800-m-freestyle,world_aquatics_championships,aquatics_swimming-800-m-freestyle,men,podium_top3_by_event,2003-01-01
world_aquatics_championships_2003_women_swimming-800-m-freestyle,world_aquatics_championships,aquatics_swimming-800-m-freestyle,women,podium_top3_by_event,2003-01-01
world_aquatics_championships_2003_men_water-polo-tournament,world_aquatics_championships,aquatics_water-polo-tournament,men,podium_top3_by_event,2003-01-01
world_aquatics_championships_2003_women_water-polo-tournament,world_aquatics_championships,aquatics_water-polo-tournament,women,podium_top3_by_event,2003-01-01
world_aquatics_championships_2005_women_artistic-swimming-combination-routine,world_aquatics_championships,aquatics_artistic-swimming-combination-routine,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_artistic-swimming-duet-routine,world_aquatics_championships,aquatics_artistic-swimming-duet-routine,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_artistic-swimming-solo-routine,world_aquatics_championships,aquatics_artistic-swimming-solo-routine,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_artistic-swimming-team-routine,world_aquatics_championships,aquatics_artistic-swimming-team-routine,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_diving-1-m-springboard,world_aquatics_championships,aquatics_diving-1-m-springboard,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_diving-10-m-platform,world_aquatics_championships,aquatics_diving-10-m-platform,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_diving-10-m-platform-synchro,world_aquatics_championships,aquatics_diving-10-m-platform-synchro,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_diving-3-m-springboard,world_aquatics_championships,aquatics_diving-3-m-springboard,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_diving-3-m-springboard-synchro,world_aquatics_championships,aquatics_diving-3-m-springboard-synchro,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_men_open-water-swimming-10-km,world_aquatics_championships,aquatics_open-water-swimming-10-km,men,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_open-water-swimming-10-km,world_aquatics_championships,aquatics_open-water-swimming-10-km,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_men_open-water-swimming-25-km,world_aquatics_championships,aquatics_open-water-swimming-25-km,men,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_open-water-swimming-25-km,world_aquatics_championships,aquatics_open-water-swimming-25-km,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_men_open-water-swimming-5-km,world_aquatics_championships,aquatics_open-water-swimming-5-km,men,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_open-water-swimming-5-km,world_aquatics_championships,aquatics_open-water-swimming-5-km,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_men_swimming-100-m-backstroke,world_aquatics_championships,aquatics_swimming-100-m-backstroke,men,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_swimming-100-m-backstroke,world_aquatics_championships,aquatics_swimming-100-m-backstroke,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_men_swimming-100-m-breaststroke,world_aquatics_championships,aquatics_swimming-100-m-breaststroke,men,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_swimming-100-m-breaststroke,world_aquatics_championships,aquatics_swimming-100-m-breaststroke,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_men_swimming-100-m-butterfly,world_aquatics_championships,aquatics_swimming-100-m-butterfly,men,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_swimming-100-m-butterfly,world_aquatics_championships,aquatics_swimming-100-m-butterfly,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_men_swimming-100-m-freestyle,world_aquatics_championships,aquatics_swimming-100-m-freestyle,men,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_swimming-100-m-freestyle,world_aquatics_championships,aquatics_swimming-100-m-freestyle,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_men_swimming-1500-m-freestyle,world_aquatics_championships,aquatics_swimming-1500-m-freestyle,men,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_swimming-1500-m-freestyle,world_aquatics_championships,aquatics_swimming-1500-m-freestyle,women,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_men_swimming-200-m-backstroke,world_aquatics_championships,aquatics_swimming-200-m-backstroke,men,podium_top3_by_event,2005-01-01
world_aquatics_championships_2005_women_swimming-200-m-backstroke,world_aquatics_championships,aquatics_swimming-200-m-backstroke,women,podium_top3_by_event,2005-01-01
